Cell id,Area,Perimeter,R_inscribing,R_circumscribing,Convex hull area,Convex hull perimeter,Major axis length,Minor axis length,Centroids
416.0,1767,204,13.45362404707371,33.12099032335839,1885,204,63.5,39.0,"(1061.0 , 954.0)"
417.0,1795,198,14.866068747318506,31.400636936215164,2019,198,57.7,46.0,"(70.0 , 957.0)"
418.0,813,134,8.0,25.632011235952593,854,134,49.6,21.0,"(2006.0 , 946.0)"
419.0,1455,180,10.770329614269007,27.784887978899608,1634,176,54.2,39.0,"(1236.0 , 956.0)"
420.0,1382,162,16.0312195418814,25.079872407968907,1454,160,49.2,40.0,"(1424.0 , 959.0)"
421.0,1822,200,17.11724276862369,31.622776601683793,1974,200,60.2,43.0,"(1480.0 , 966.0)"
422.0,1730,240,4.0,40.80441152620633,2212,218,75.0,38.0,"(1519.0 , 973.0)"
423.0,2631,278,15.811388300841896,44.721359549995796,3108,278,85.7,46.0,"(1369.0 , 982.0)"
424.0,1934,206,15.811388300841896,33.28663395418648,2114,206,64.0,40.0,"(1635.0 , 967.0)"
425.0,1269,158,15.556349186104045,24.166091947189145,1344,158,45.7,37.0,"(1853.0 , 966.0)"
426.0,1209,170,14.142135623730951,23.08679276123039,1327,170,43.9,40.0,"(435.0 , 970.0)"
427.0,1351,180,11.661903789690601,31.38470965295043,1435,180,60.0,32.0,"(645.0 , 972.0)"
428.0,890,148,9.433981132056603,23.430749027719962,993,148,45.2,29.0,"(611.0 , 972.0)"
429.0,1291,184,8.94427190999916,31.144823004794873,1506,184,59.0,32.0,"(842.0 , 984.0)"
430.0,891,126,14.0,21.095023109728988,923,126,37.6,32.0,"(1972.0 , 981.0)"
431.0,1352,170,15.556349186104045,25.495097567963924,1414,170,50.7,37.0,"(1753.0 , 985.0)"
432.0,787,132,10.0,20.12461179749811,849,132,38.9,29.0,"(458.0 , 990.0)"
433.0,2121,220,16.0,36.87817782917155,2301,218,73.1,41.0,"(118.0 , 1009.0)"
434.0,1232,156,15.231546211727817,22.47220505424423,1309,156,43.4,39.0,"(739.0 , 993.0)"
435.0,1037,146,12.529964086141668,24.698178070456937,1066,146,45.4,29.0,"(1301.0 , 988.0)"
436.0,851,122,13.0,20.0,876,122,38.3,31.0,"(2022.0 , 993.0)"
437.0,1651,204,14.866068747318506,30.463092423455635,1744,204,59.5,36.0,"(635.0 , 1005.0)"
438.0,1552,178,18.384776310850235,26.92582403567252,1630,178,51.0,40.0,"(159.0 , 1003.0)"
439.0,950,142,8.48528137423857,22.825424421026653,1036,142,44.3,28.0,"(806.0 , 1004.0)"
440.0,994,146,10.295630140987,25.0,1077,146,49.5,30.0,"(963.0 , 1006.0)"
441.0,1153,158,14.7648230602334,23.345235059857504,1235,158,42.7,37.0,"(1241.0 , 1008.0)"
442.0,1996,222,19.026297590440446,34.438350715445125,2202,222,62.6,50.0,"(1562.0 , 1013.0)"
443.0,2483,280,16.64331697709324,44.294469180700204,3097,260,80.6,55.0,"(1504.0 , 1027.0)"
444.0,1593,200,14.560219778561036,33.28663395418648,1772,200,60.9,37.0,"(1814.0 , 1016.0)"
445.0,867,130,11.180339887498949,23.021728866442675,902,130,41.6,28.0,"(2059.0 , 1013.0)"
446.0,2380,234,17.46424919657298,37.8021163428716,2477,234,74.9,41.0,"(69.0 , 1029.0)"
447.0,1033,154,9.848857801796104,26.248809496813376,1105,154,51.6,27.0,"(1208.0 , 1021.0)"
448.0,1646,210,11.40175425099138,36.235341863986875,1771,210,71.8,34.0,"(1611.0 , 1028.0)"
449.0,2213,208,22.090722034374522,31.78049716414141,2354,206,60.5,55.0,"(1327.0 , 1032.0)"
450.0,1507,170,18.681541692269406,24.698178070456937,1569,170,48.1,42.0,"(1034.0 , 1030.0)"
451.0,2271,242,11.661903789690601,38.27531841800928,2660,242,71.7,46.0,"(1144.0 , 1034.0)"
452.0,2493,232,18.867962264113206,36.71511950137164,2637,232,69.4,54.0,"(1271.0 , 1040.0)"
453.0,949,156,9.848857801796104,27.202941017470888,1063,156,51.5,27.0,"(1692.0 , 1034.0)"
454.0,1366,183,10.0,29.732137494637012,1534,182,58.1,34.0,"(879.0 , 1047.0)"
455.0,549,100,9.486832980505138,16.64331697709324,575,100,31.6,23.0,"(619.0 , 1040.0)"
456.0,2353,234,18.439088914585774,39.59797974644666,2622,234,74.5,51.0,"(1099.0 , 1057.0)"
