Cell id,Compactness,Eccentricity,Roundness,Convexity,Solidity,Sphericity
505.0,0.5937816648037684,0.8809523809523809,0.5937816648037684,1.0,0.9452054794520548,0.524853977895955
506.0,0.5568298445562709,0.6208425720620843,0.5719809853230504,0.9866666666666667,0.8815207780725022,0.43314808182420994
507.0,0.6531034139365909,0.7254901960784313,0.6531034139365909,1.0,0.9746917585983128,0.6107408240296612
508.0,0.48140747543691487,0.626057529610829,0.48140747543691487,1.0,0.8607755880483153,0.39512333388398085
509.0,0.47938376788110915,0.5321100917431193,0.47938376788110915,1.0,0.9135254988913526,0.3755977341885738
510.0,0.5562257469212949,0.6451612903225807,0.5562257469212949,1.0,0.9216241737488197,0.447213595499958
511.0,0.5744441112452412,0.5641025641025641,0.5744441112452412,1.0,0.9477911646586346,0.4248385633132294
512.0,0.636317956456266,0.7901234567901234,0.636317956456266,1.0,0.958904109589041,0.5983966933565787
513.0,0.5311459224110342,0.4983922829581993,0.5428835994791684,0.9891304347826086,0.9389763779527559,0.40061680838488767
514.0,0.5954652742098301,0.7830342577487766,0.5954652742098301,1.0,0.9050022946305645,0.40787080698927825
515.0,0.6537732634374881,0.8571428571428571,0.6537732634374881,1.0,0.9685737308622079,0.7638809460793484
516.0,0.5696090576166348,0.6237816764132554,0.5696090576166348,1.0,0.936411149825784,0.48236888224893976
517.0,0.6785558239126808,0.8185840707964601,0.6785558239126808,1.0,0.9796511627906976,0.7151953752498411
518.0,0.5282410116272254,0.8093278463648833,0.5366590625179842,0.9921259842519685,0.901595744680851,0.447213595499958
519.0,0.3396446343345291,0.41259500542888167,0.3652694009852824,0.9642857142857143,0.8103250478011472,0.195322317975856
520.0,0.6178103199966087,0.7281553398058253,0.6178103199966087,1.0,0.9692089057318807,0.5461037115296922
521.0,0.593411945678072,0.865979381443299,0.593411945678072,1.0,0.9205776173285198,0.6207953120669009
522.0,0.34855733421333057,0.3890160183066361,0.4085508102202695,0.9236641221374046,0.8484848484848485,0.04216370213557839
